track_id,album_name,album_id,album_release_date,album_total_tracks,artist_name,artist_id,track_duration,track_name,explicit,track_popularity,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,acousticness,liveness,valence,tempo,time_signature,genre_name,country
3mqJQNF76THVw3H7HnKKEs,Maestro de la Guitarra Flamenca,3LgTCRPfDXm68ra4AarqF8,2011-11-01,16,Ramon Montoya,0UQJfbVE2d4tdpwa14LVrW,225946,Taranta,0,8,3mqJQNF76THVw3H7HnKKEs,0.43,0.214,7,-13.289,1,0.0383,0.911,0.989,0.139,0.484,75.214,5,"Cante Flamenco,Flamenco,Flamenco Guitar",Spain
0QZsURe3gqWzZaBkrxCYNY,Music By Famous Artists: Erhu,4Z6OHU70XVD27kx1H9YCfi,2005-01-01,14,Chen Yaoxing,6FJ4tBl1PHwJc9pSrm8z54,324520,A Merry Song In The Waterside Village,0,1,0QZsURe3gqWzZaBkrxCYNY,0.257,0.196,2,-13.935,1,0.0414,0.932,0.991,0.416,0.482,171.08,5,"Chinese Traditional,Erhu",China
04F42oEuKrRComYJfJuyVR,Backyard Boy (Stripped),4BXCJA3xYjgSk16CqK1Zrz,2020-10-02,2,Claire Rosinkranz,3V0ZQW0dNuVaFtbVYgSI24,129240,Backyard Boy,0,77,04F42oEuKrRComYJfJuyVR,0.817,0.635,5,-7.246,1,0.163,0.0,0.323,0.0738,0.454,138.015,4,"Modern Indie Pop,Pop",
4Kn99jWJtPym6TtZLLIHfi,A Moon in My Living Room,6hPrRXwwdHZpnoimvAyHtV,2020-10-09,1,Effy Simon,0aAHKgdpJDLjJw2vWYsRA0,208129,A Moon in My Living Room,0,2,4Kn99jWJtPym6TtZLLIHfi,0.495,0.302,7,-7.851,1,0.0282,0.0,0.378,0.106,0.34,84.671,4,Swedish Indie Folk,Sweden
155TYKqTzE732HhyJdwrMa,Too Much Living,4Io98j8VaTecKgQas08H9V,2009-09-01,10,Danny Balis,0miRtgBQQObpqCOAF86hMW,209629,Tethered,0,1,155TYKqTzE732HhyJdwrMa,0.629,0.386,0,-11.907,1,0.027,0.297,0.556,0.0973,0.63,135.989,5,Dallas Indie,United States
3L6V1QxLdiXovfJCsHSYCe,"Handel: Orlando, HWV 31 (Live)",0ufKVKYv37O3Q3GK3cppPc,2016-09-30,68,George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,203400,"Orlando, HWV 31, Act I: Act I: Fammi combattere (Orlando)",0,4,3L6V1QxLdiXovfJCsHSYCe,0.521,0.383,9,-14.761,1,0.0611,0.0,0.955,0.454,0.598,124.32,4,Classical Countertenor,
3y5vhvYwhhvt7dwXXdtaI9,Şanıma İnanma,56SC1E4I2SKNBubfp2rnLM,2018-09-19,1,Kardelen,36icWcwFNSd19PsYOZaDlr,183314,Şanıma İnanma,0,27,3y5vhvYwhhvt7dwXXdtaI9,0.737,0.833,5,-6.369,0,0.0503,0.000578,0.0729,0.528,0.726,97.994,4,Turkish Trap Pop,Turkey
4KNAi4kPKyexGquBPaKjbf,L'ora solare,7j8YebM1imjOJ4BttPa2Ye,2015-03-03,14,Tommaso Di Giulio,16WnfkX8jUpYVdY5r8Lu70,194466,Spesso e volentieri,0,4,4KNAi4kPKyexGquBPaKjbf,0.422,0.464,1,-7.6,1,0.0296,0.193,0.00359,0.146,0.167,124.513,4,Indie Folk Italiano,Italy
5YaqWXt6IC496XNh1yHH6m,Auf Teufel Komm Raus,5QdL80QeT6dzHlLZ0RVV9j,2015-05-12,11,Brannthorde,1ZDfeblBbKhwjZMEcQjsTF,250817,Der Verweser,0,0,5YaqWXt6IC496XNh1yHH6m,0.184,0.901,4,-4.978,0,0.114,0.00735,0.000607,0.573,0.0377,136.684,3,German Black Metal,Germany
6goCOl71oEmo2nCthSLAJD,Valborg/The Raid,17RkuZtj1Yp1PK6YuZ9Edt,2020-05-29,2,Cirez D,31f4Ougr0lpsDrxigwV3TB,475126,Valborg,0,40,6goCOl71oEmo2nCthSLAJD,0.706,0.567,11,-12.624,0,0.0391,0.85,0.00546,0.103,0.0789,125.987,4,Tech House,United Kingdom
16lDiwTWd1CdFUaimsOIBr,My Naam Is Lollos,2yZM2pVw4zRTpKfWs2sOAo,2014-07-11,25,Lollos,7lzs8ubgMI9bqmlI0xkH11,193746,Hoe Maak Die Krokkedil?,0,14,16lDiwTWd1CdFUaimsOIBr,0.815,0.839,2,-7.767,1,0.0566,0.0,0.42,0.11,0.965,114.988,4,Kinderliedjies,Netherlands
7BR0DUxfGXzwJIuyMGVudY,We Love You,1PBfg33MoSnAKhD0W96cNG,2019-02-15,10,Bilge Pump,1nnadLlHnjwJVPX9EP0bsk,508000,The Passion of The Kid,0,1,7BR0DUxfGXzwJIuyMGVudY,0.516,0.678,2,-7.402,1,0.0587,0.124,0.00322,0.113,0.653,152.394,4,"Leeds Indie,UK Noise Rock",United Kingdom
60YGJHAQHpfyoizuz5BjUo,Rare Rock N' Roll Tracks Of The '50s & '60s Vol. 3,6NiLxplNBy9oTzO6ksX73n,2010-09-01,80,Charlie & Don,1OkqoH3Aw0n39v1Oy7BlDJ,134960,A Young Man's Fancy,0,2,60YGJHAQHpfyoizuz5BjUo,0.394,0.659,0,-5.27,1,0.0438,0.0,0.62,0.377,0.772,80.944,4,Vintage Swoon,
17vecTSSZFp9n84EcgsfIZ,Nanwoka - Multi-part folksongs of Yunnan's ethnic minorities #3 & #4,733dHhM1wnjF8x7WHJry2Z,2005,68,Nong Yufen,6v7juvEV1N3GwCmnG9ax2i,119186,Niangmsai / Xiajia,0,0,17vecTSSZFp9n84EcgsfIZ,0.267,0.0179,10,-19.776,0,0.0395,0.0529,0.959,0.0871,0.174,171.955,3,Yunnan Traditional,China
7aAbbkIsZNXhy7gwMT8xvu,跟我玩轮回,1UGHC8mJfvlhZIwVIX2yms,2020-11-24,9,欣然丫,4MHlhsNTD6TXZkgEdpKMjK,180119,Phut Hon (Remix),0,58,7aAbbkIsZNXhy7gwMT8xvu,0.861,0.56,11,-7.537,0,0.0852,0.00391,0.0248,0.0972,0.175,128.0,4,Chinese Viral Pop,China
5iGqPENnnep4XjQXCbFAQm,America Ma Bey Gujaratio,1asXynfciOP9Q25SGIxVJl,2019-05-24,10,Shahbuddin Rathod,1pHwMtq1u1igQhOVnwaMlz,449933,Man Mathi Aanand Made,0,3,5iGqPENnnep4XjQXCbFAQm,0.623,0.442,10,-12.656,1,0.947,0.0,0.977,0.585,0.406,82.981,4,Guidance,
3Ly2E9d0U5e0GV7BXZmqzW,Higher Vibrations,0dgz8eaI4c4y5Zua1t1Quj,2020-05-29,1,Laime,5G36eoF6O2hTwz3mNc6uvA,165276,Higher Vibrations,1,11,3Ly2E9d0U5e0GV7BXZmqzW,0.561,0.631,6,-5.209,0,0.292,2.96e-05,0.225,0.11,0.597,205.952,4,Alté,Nigeria
1Megt8ptIT177CILeGT7sU,Lost In The Sauce,6tPLfnntU49Tha3C849ZU8,2020-03-25,22,Sauce Twinz,4goI8gUcf64oWgJa9IlbJk,280615,Big Drip Squad,1,42,1Megt8ptIT177CILeGT7sU,0.941,0.705,11,-7.639,1,0.326,0.0,0.00668,0.105,0.382,130.04,4,Houston Rap,United States
31Ul4MWXl2Xxen0wM2uSYM,Handel: Messiah HWV56,0Dbq2mwCDY6jozhAjB9GrC,1997-01-01,50,George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,215666,"Messiah, HWV 56 / Pt. 1: ""Comfort ye, My people""",0,7,31Ul4MWXl2Xxen0wM2uSYM,0.211,0.0119,10,-29.337,1,0.0449,0.00155,0.873,0.197,0.0742,80.465,4,"Classical Tenor,Historically Informed Performance",
7uivhNr8JqKR8Iw7fuhC8V,King Zero,1YDRGzXyspjQ6DoYq1VYGx,2004-06-21,12,King Zero,6d4GWp1P6vbwl1q1sSxb9E,251760,King,0,0,7uivhNr8JqKR8Iw7fuhC8V,0.435,0.756,8,-6.691,1,0.0345,8.44e-05,0.000161,0.108,0.729,165.374,4,Dallas Indie,United States
30WsqFirrRxcEY23I8xOvl,Summer Soul,60nnZGSBIcueRQv93z9geb,2015-08-30,15,Pilates Haag,1BcNgCi4VVy5kRRKJULur8,135367,Years Of Spirit,0,0,30WsqFirrRxcEY23I8xOvl,0.563,0.16,9,-11.775,1,0.0484,0.902,0.984,0.102,0.0468,97.889,3,Pilates,
1cGxMjMc9GMR1RkB31Ogok,"Live at Kufa Gallery, London, 1994",4bAkrEpitKMVm7bZk8RRJo,1995-07-01,6,Veena Sahasrabuddhe,5u1S4wqSqEH05Aup3Z1SuO,232906,Raga Madhmad Sarang,0,13,1cGxMjMc9GMR1RkB31Ogok,0.152,0.0355,0,-25.351,0,0.045,0.0011,0.871,0.181,0.154,74.197,5,"Dhrupad,Hindustani Vocal",India
0idj267j3zH46ffw8tI71Y,Time Wasted,0o0fbgd5GkBA5zCU5geYsv,2019-03-30,9,Stop N' Shop,7x1jyapUzlgqjk2zks8w5Z,259856,All for One,1,3,0idj267j3zH46ffw8tI71Y,0.492,0.693,7,-6.8,1,0.0302,0.0986,0.0382,0.22,0.544,149.771,4,Tampa Indie,United States
3PUbNbybe6dTMWdUt9vQ02,Ansiedad,2LPksOedjUqteHzGLaoPRY,2017-05-05,1,Axel Catalán,3RyQCdkn4bCRxZ3kOgUPxH,236853,Ansiedad,0,40,3PUbNbybe6dTMWdUt9vQ02,0.604,0.238,9,-15.001,1,0.0553,0.227,0.803,0.0878,0.15,125.998,4,Indie Michoacano,Mexico
0pQZ8JROGkVX0sPqSyb7MI,Mindless Town,4uJeCjlbeTu9qnqtHSwl9j,2018-04-20,1,Roman Lewis,2LfiKx5xXRCppq6U2hAaSi,316492,Mindless Town,0,40,0pQZ8JROGkVX0sPqSyb7MI,0.35,0.192,2,-8.782,1,0.0324,0.00577,0.851,0.103,0.14,75.874,4,London Indie,United Kingdom
1kIiGYbiRI9kEX9l5El7I0,Mountaintop,7ssKdUR4z6Avln1GvbN8LP,2017-10-13,1,Fungo Bat,0igmv0sXF0ytXyMcm1Qv3u,207640,Mountaintop,0,1,1kIiGYbiRI9kEX9l5El7I0,0.432,0.895,11,-8.282,0,0.0466,0.61,4.34e-05,0.358,0.635,93.36,4,Dutch Indie Rock,Netherlands
0zIVIL5SaFDA8zt49kPbPJ,El Mejor Mariachi Femenino,6cXbfBUZZ1LiNWUxS09yjd,2002-01-01,11,Mariachi Reyna De Los Angeles,650nqeGBxByQo7gS6jNwDy,402488,Te Lo Pido por Favor / Asi Fue / Hasta Que Te Conoci,0,17,0zIVIL5SaFDA8zt49kPbPJ,0.431,0.316,4,-5.957,0,0.0317,1.52e-05,0.795,0.314,0.523,83.035,3,Mariachi,Mexico
5Egjb44EiTifRbUFpTEq8t,"Merveilles du passé, Vol. 2",6esACKg0eW3qv9UbeyqWIq,1993-01-01,19,Grand Kalle,3BwtfrNuPmkwSSo8lwcHGc,145626,Jamais kolonga,0,15,5Egjb44EiTifRbUFpTEq8t,0.697,0.657,5,-8.878,1,0.038,0.0157,0.69,0.21,0.961,92.478,4,"Rumba Congolaise,Soukous",Congo
2wBzfEvzTwcfOzwpBwYwBR,Aries Imperfecto,2PsUkoEC0HkmKruPj3k7Nu,2009-05-01,12,Eva Carreras,1WYjTUnUIs1o7jSA0gV5hl,213586,Lela,0,2,2wBzfEvzTwcfOzwpBwYwBR,0.299,0.49,4,-5.834,0,0.0298,0.0,0.688,0.118,0.3,67.957,4,Spanish Pop Rock,Spain
2cFdpfKP5DCWScrqTDj2gW,Hot Sauce in My Fanny Pack,09rVdClYKrIwmV1EyhyXq2,2018-07-01,1,Lil Skritt,1ArSucFv3GjsqMHBtt4w5u,209063,Hot Sauce in My Fanny Pack,1,1,2cFdpfKP5DCWScrqTDj2gW,0.915,0.415,11,-10.89,1,0.291,0.0,0.172,0.232,0.687,143.003,4,North Carolina Hip Hop,United States
2ipAE99QcWu9mGDjYSjeiA,Old Skool Grim,3pPnwghFjLLLneOHK73LxC,2013-04-02,17,Griminal,3uf6b5TUEqzem0uWoxhl1G,160000,Mayhem Freestyle,1,15,2ipAE99QcWu9mGDjYSjeiA,0.637,0.928,9,-2.832,1,0.329,0.0,0.303,0.0836,0.584,101.31,3,Grime,United Kingdom
6htPfNFfinZlctt29MHLGa,Hold Me Up,0WFmxCdrE5ASceTcDCjX8w,2020-11-01,1,Hello Moth,1bnHIRpqKoW3242S9P8oQw,193032,Hold Me Up,0,2,6htPfNFfinZlctt29MHLGa,0.65,0.684,6,-5.044,0,0.178,0.000646,0.53,0.108,0.594,58.191,4,Calgary Indie,Canada
1JzH94WRVeJiLeVaGfj4hu,Death Becomes My Voice,3JqBmiYiYZVBNa6Z8SIOlb,2019-05-03,13,Ringworm,1mVvXNKbCaUapInbgHCDRV,319346,Death Becomes My Voice,0,15,1JzH94WRVeJiLeVaGfj4hu,0.231,0.989,2,-5.528,0,0.142,0.000222,9.67e-06,0.122,0.0466,106.993,4,"Cleveland Metal,Hardcore",United States
6e4COMyKpFwHleidksxdO0,Brave (Andy Elliass & Araya Remix),7vIBUZNch9mkos9zdsToAc,2018-03-05,3,Re:Locate,6xCpROdQDyjULgekyUtW3u,199464,Brave - Andy Elliass & Araya Remix,0,20,6e4COMyKpFwHleidksxdO0,0.431,0.92,8,-4.496,0,0.0983,0.0091,0.00032,0.656,0.0851,139.977,4,"Dutch Trance,Progressive Trance,Trance,Uplifting Trance",Netherlands
32uhXDp4pQ8b254AT0WRTK,Hong Kong: Instrumental Music,0AkzLhAZqtwniji4SrJEXi,1974,9,Lui Pui-Yuen,3kHJIArfHtcEX9qINfSThF,431933,Pa wang shih chia (The warrior takes off his battle armour),0,2,32uhXDp4pQ8b254AT0WRTK,0.503,0.305,4,-14.116,1,0.0393,0.951,0.947,0.0914,0.458,110.781,4,"Cantonese Traditional,Chinese Traditional,Pipa",China
3DOZrIy0OP3wtyDbJAALcu,Iteration,4cXAcWU9jjDPTAAM8JyDmK,2017-06-16,12,Com Truise,2wouN3QXejYa5tKetYdcVX,250906,Propagation,0,50,3DOZrIy0OP3wtyDbJAALcu,0.564,0.669,6,-8.474,1,0.0413,0.73,0.0423,0.125,0.306,178.04,4,"Chillwave,Indietronica,Vaporwave",
0ZQsi5J0bOPjwDjHxzCyk7,"A4 Reggae Files, Vol. I",2gMVy4SuKrJLwgNdK0MNe5,2014-11-11,3,A4 Reggae Orchestra,19Of0x18ziZ8otqDvidAau,205038,Star Wars,0,11,0ZQsi5J0bOPjwDjHxzCyk7,0.69,0.624,5,-6.925,0,0.0334,0.502,0.0634,0.214,0.553,140.013,4,Reggae Català,Spain
39vJRIB6zDXXvbuzxbqXEj,Quietime: Hymns,1REkjV0iybNci9Xu4lt4J4,2007-04-03,11,Eric Nordhoff,6egf9BaYi17rYFHpsrELXd,301813,It Is Well With My Soul,0,22,39vJRIB6zDXXvbuzxbqXEj,0.377,0.0095,0,-24.17,1,0.0698,0.932,0.995,0.116,0.169,73.001,4,Christian Relaxative,
63PmH5CcyJYsrIO6Vk4LUT,Orune Canta,3tmGoDIqACkHyHhF82cdzi,2000-05-15,8,Gruppo Tenore Folk Studio de Orune,2aecl7AZF6800iRqg4basy,214866,Dichiarazione d'amore,0,1,63PmH5CcyJYsrIO6Vk4LUT,0.289,0.217,7,-13.599,1,0.0381,0.0,0.888,0.105,0.247,98.264,4,Canto a tenore,Italy
42kwDKjpFuPVSfK1mZSJEg,Warmy Girls,2Ex1Fm6Kv6YucHarAT1fuJ,2010-11-30,12,Velvet Davenport,0AwedKmRX77ua2Da4f0xXq,207400,Green Life,0,1,42kwDKjpFuPVSfK1mZSJEg,0.338,0.381,4,-13.506,1,0.0301,0.582,0.506,0.269,0.396,77.175,4,Popgaze,
0LfeOsrtZnHw1QKz8KowRM,Коллектив урбанической лирики,4DbKGiIuuLTUVpXJHcnbZ0,2003-10-13,10,Ругер,0x2rtRXrsBdBY77aLKfFTe,340960,Никогда,0,1,0LfeOsrtZnHw1QKz8KowRM,0.321,0.879,4,-6.624,1,0.0673,0.0152,0.000699,0.12,0.362,109.328,4,Russian Nu Metal,Russian Federation
4HNB0ugz2QfCJpzuU3w3uS,01,2OZkeONpKHasbb6UShvuXW,2018-10-21,9,Juan + Yerai,0GwmnN8qnlqfPnw6D9nwBZ,249539,Claro Que Te Imaginaba,0,21,4HNB0ugz2QfCJpzuU3w3uS,0.706,0.281,2,-7.807,1,0.0816,0.0,0.89,0.1,0.505,144.056,4,"Nuevo Flamenco,Pop Flamenco",Spain
1G1nqYaE1fZqf5BiYKD4By,Singularity,0Z526buY4fFTkOiyGXP8on,2016-07-30,10,Standing in the Colour,3YUMBAz22jcHFySCTQRKQt,368506,The Swarm,0,0,1G1nqYaE1fZqf5BiYKD4By,0.197,0.734,7,-10.321,1,0.0438,0.855,3.48e-05,0.42,0.411,86.744,4,Kansas Indie,United States
1Rj2vKjzAVzsnmofZzYFWh,Shadow Dancing,1A8ZxoWwWbn9Ak2k8p3DTn,1978-01-01,10,Andy Gibb,4YPqbAiLzBg5DIfsgQZ8QK,250200,(Our Love) Don't Throw It All Away,0,52,1Rj2vKjzAVzsnmofZzYFWh,0.351,0.333,5,-13.194,1,0.0474,0.000124,0.305,0.628,0.227,142.423,4,"Adult Standards,Bubblegum Pop,Disco,Mellow Gold,Soft Rock",
2c0ZK87DwLPLrg5Qp6SmeE,Sagrada Família,6el3qZDqHHkJu4uBXNbme5,2020-02-14,11,Damen,1RPRT8ngUS1Kc5gi8WURoH,192929,Don't get out of my head,0,6,2c0ZK87DwLPLrg5Qp6SmeE,0.33,0.794,4,-10.454,1,0.0428,0.614,0.00053,0.105,0.592,145.356,4,Gothenburg Indie,Sweden
7Dco7t8EIAfDgSnQ1EVxR3,This Ain't No Game,15BSgSPDE94KQidFWTMcvQ,2020-06-26,3,Norty Cotto,1R1lhAs1qcIHvzgxu5F7W5,380404,This Ain't No Game - Norty Cotto Q Time Mix,0,7,7Dco7t8EIAfDgSnQ1EVxR3,0.82,0.879,10,-7.425,0,0.0562,0.589,0.000254,0.0346,0.267,123.029,4,Latin House,
6CaoHkCDqFbSexwCW0c4PW,Баю Бай,1kZgQj1eNczmZpLcSkYDmJ,2020-12-18,1,DASHXX,2wjp3WufhNcP4FtGlylgga,155200,Баю Бай,0,36,6CaoHkCDqFbSexwCW0c4PW,0.757,0.533,5,-12.242,1,0.0726,0.0,0.0693,0.0728,0.609,149.897,4,Kazakh Pop,Kazakhstan
65H5ywZuOZqrP9EfqyQ4jN,Goliath,30hFApWv34RMHNSuNmA53e,2020-10-09,1,Dladla Mshunqisi,5M9mFjVaPT2T1HFYFFSoCt,263809,Goliath,0,20,65H5ywZuOZqrP9EfqyQ4jN,0.978,0.893,10,-4.325,0,0.0789,1.38e-05,0.194,0.0872,0.681,126.036,4,Gqom,South Africa
0o4mmYvUiTOCJwu7cBluMY,Ixtl/Ollin,2jxKojZJcQSCVroFaEAvPD,2011-07-29,2,Clubs for Boardgames,0JXGwgVqyZzgIC3j7Bhsjg,355320,Ollin,0,4,0o4mmYvUiTOCJwu7cBluMY,0.261,0.498,10,-14.71,0,0.0672,0.947,0.49,0.11,0.0868,145.646,4,Witch House,
0OfWccLCLf8vkv6AACCQl3,Язмыш жиле,6JVfrfxJLGGP24kwLWiIAa,2020-06-25,1,Анвар Нургалиев,1PYmFRcmnKZCSzWmWmDvle,197500,Язмыш жиле,0,17,0OfWccLCLf8vkv6AACCQl3,0.607,0.949,8,-3.891,0,0.0677,0.0,0.112,0.0405,0.782,95.993,4,Tatar Pop,Russian Federation
4Dd5IORWfTg41eksZs8ZQ9,The Bambi Murders,7vQnywV6I5ec03gbIbj3fd,1992-08-01,3,Killa Instinct,7A5oL4g0tU2tcJidQFXBwt,247813,The Bambi Murders - Vocal Mix,0,6,4Dd5IORWfTg41eksZs8ZQ9,0.802,0.96,6,-13.663,0,0.0884,0.0377,0.0942,0.372,0.355,112.183,4,Old School UK Hip Hop,United Kingdom
2EKu9wVxnbwmci6jaJyS8I,Tout simplement moi (Mi-ange),5UROWYKuX2AX0Hvjyanqq3,2020-12-18,14,Héritier Wata,20M8IJbzy7Y5EBRfwDIUmb,317908,Désolé,0,32,2EKu9wVxnbwmci6jaJyS8I,0.765,0.649,8,-8.74,0,0.0348,0.00501,0.78,0.107,0.836,134.01,4,"African Gospel,Azontobeats,Rumba Congolaise",Ghana
2UAYuKEvpAhPBrb78Ntj2X,MINORITY REPORT,27sJ5a8lD0ZidGM0FBiN0h,2007-03-10,25,TAK THE CODONA,2pkv70UhftoSWVpuY1OczR,323120,誰がために金は成る?,1,2,2UAYuKEvpAhPBrb78Ntj2X,0.562,0.553,7,-8.155,1,0.38,0.0,0.0988,0.0743,0.652,64.475,3,Japanese Underground Rap,Japan
5jMaIjjbdeA7CqFUV3IBX7,Buldozer,6rasFLhoo7u7bkyIZ0OoEe,2018-10-29,8,Bam Bam Bam,21GigkLylCHWsUECsDolnV,205310,İktidar,0,15,5jMaIjjbdeA7CqFUV3IBX7,0.69,0.832,9,-4.656,1,0.1,0.000128,0.177,0.162,0.695,99.554,4,Turkish Punk,Turkey
4zTob0TgyBBgvHPAtU6jNU,Ik Ben Voor Jou Daar,4gPuphdXgcn6QeQigftvf8,2006,14,Marc & Dave,5I5LzzDmltj8z3zyfdWd35,221706,Griekse Nacht,0,21,4zTob0TgyBBgvHPAtU6jNU,0.798,0.549,5,-11.975,1,0.0344,3.11e-05,0.481,0.0993,0.6,125.12,4,Classic Dutch Pop,Netherlands
2nPt8nFMMxNB3Fofp8bTMy,Walk in the Park,4QINk2kAnHFADCH5apcwAi,2020-07-10,1,Slow Caves,4P50NzjBhqd2dr6CQ8asjl,219260,Walk in the Park,0,42,2nPt8nFMMxNB3Fofp8bTMy,0.407,0.837,6,-4.504,1,0.0409,0.00158,0.176,0.136,0.453,160.059,4,Denver Indie,United States
01CrwdCnScg0ZinpSkPSxm,Wanderer,3Gob7DUhSIocZx2iJctm3d,2020-04-04,11,Runemaster,1R94WBPVfJiR4CGAGSJ7Np,396405,Raven Lord,0,6,01CrwdCnScg0ZinpSkPSxm,0.208,0.924,6,-5.564,0,0.121,0.557,6.09e-06,0.405,0.177,102.935,4,Edinburgh Metal,United Kingdom
2W4DzqwtQUbuM6VJjyPiGc,Migración Inka,1buM0G6XmouAUP6EvVWHER,2020-07-03,4,The Peronists,2tak7vankowM0jQMrmQ0PY,181276,Selvático,0,20,2W4DzqwtQUbuM6VJjyPiGc,0.822,0.673,5,-5.289,0,0.0356,0.00724,0.496,0.0965,0.806,93.989,4,Nu-Cumbia,
0KeTwWQYBHRAbRlRDwBNtr,Clásicos de La Música Cubana Volume 1,4pLPo6PoZb0ktRNG3xGdY6,2011-12-20,20,Trío Servando Díaz,0Tc0ze3ZmavJ7JnAAL7fn7,258453,María Cristina,0,9,0KeTwWQYBHRAbRlRDwBNtr,0.709,0.435,9,-9.483,1,0.249,0.000557,0.83,0.0875,0.904,94.972,4,"Música Tradicional Cubana,Trio Cubano",Cuba
2S29d09cGyhdAFZIALPuEo,Skin Floats,76HEkpm79Esdnvt2iaOp9o,2020-03-13,1,Shybits,3RpiuODlxLEzGTjoKa2qW7,223359,Skin Floats,0,27,2S29d09cGyhdAFZIALPuEo,0.46,0.792,4,-3.527,1,0.0431,0.0,0.000655,0.0879,0.406,115.941,4,German Post-Punk,Germany
